Month,AUD_LKR,GBP_LKR,JPY_LKR,KWD_LKR,USD_LKR
2021-10,148.62314736842106,274.98082631578944,1.7804526315789475,666.885047368421,201.08985789473684
2021-11,147.57505,271.60089,1.7687750000000002,668.040315,201.85816
2021-12,144.1238956521739,268.02970434782605,1.7683304347826085,665.2148,201.39897391304348
2022-01,144.64350000000002,272.98007894736844,1.752821052631579,665.9315526315789,201.46467368421054
2022-02,144.41998333333333,272.99476111111113,1.7508388888888888,666.8848666666668,201.7362
2022-03,188.88602857142857,336.59897619047615,2.150747619047619,841.8455428571427,255.8080619047619
2022-04,235.1514888888889,413.08639999999997,2.5296166666666666,1046.7077666666667,319.4404333333334
2022-05,253.22183684210526,447.04804210526316,2.787821052631579,1171.2400105263157,358.9390315789474
2022-06,253.46016190476192,444.6004095238095,2.6921142857142857,1174.780476190476,360.2428095238095
2022-07,247.61542500000002,433.300955,2.6398800000000002,1173.71572,360.87241
2022-08,251.06329545454545,432.60797272727274,2.6706636363636362,1175.38525,360.99827727272725
2022-09,242.29425,410.28437272727274,2.533977272727273,1172.326459090909,362.3825727272727
2022-10,231.0849736842105,410.2258052631579,2.4691736842105265,1171.4201157894736,363.1484210526316
2022-11,239.72815714285713,426.9744571428571,2.556452380952381,1178.1962047619047,363.3940476190476
2022-12,245.29178000000002,442.38982999999996,2.68858,1184.4998799999998,363.16519
2023-01,252.03271999999998,443.76138000000003,2.7837050000000003,1185.83996,362.422775
2023-02,250.19917,437.684,2.72613,1182.775245,361.976615
2023-03,220.14344545454543,399.98579090909095,2.465727272727273,1074.0354590909092,329.47085454545453
2023-04,214.84447500000002,399.33145625,2.40560625,1048.7957625,321.42435625
2023-05,206.20037619047622,387.1270666666667,2.2622571428571425,1010.5043571428571,310.1638571428571
2023-06,202.339355,380.34502499999996,2.138615,980.20591,301.261175
2023-07,215.40142999999998,411.69486500000005,2.2678350000000003,1040.48715,319.290345
2023-08,208.52458571428573,408.7024761904762,2.220642857142857,1044.4563523809525,321.57640476190477
2023-09,207.33886315789474,401.2274105263158,2.189226315789474,1045.5376736842104,322.76928421052634
2023-10,206.3706909090909,395.31382727272734,2.1723590909090906,1050.0901772727273,324.7302772727273
2023-11,213.1054318181818,407.40923636363635,2.191686363636364,1063.7666272727272,328.25003636363635
2023-12,218.43922631578948,413.4964789473684,2.2668631578947367,1060.983194736842,326.74232631578946
2024-01,213.9192380952381,408.06366190476194,2.204304761904762,1044.2257,321.17060476190477
2024-02,203.988115,394.79828000000003,2.09307,1015.33884,312.58011999999997
2024-03,200.42843684210527,388.5586578947368,2.041921052631579,994.0136315789473,305.6649631578947
